WTime,TOC,T-N,T-P
2019-05-09,4.1,1.903,0.024
2019-09-12,,0.503,0.041
2019-10-10,4.4,,0.051
2019-11-01,3.6,0.883,0.018
2019-01-05,3.1,1.995,0.011
2019-02-24,3.6,2.311,0.02
2019-02-25,3.8,2.553,0.029
2019-05-23,5.2,,0.024
2019-06-28,6.1,1.191,0.05
2020-02-05,,1.623,0.027
2020-03-23,4,3.526,0.022
2019-06-22,5.9,1.332,0.035
2019-11-11,4.5,,0.015
2019-12-25,3.3,1.1,0.013
2020-03-09,,,0.033
2020-06-22,4.3,1.828,0.058
2019-06-17,,,
2019-07-17,5.6,2.562,0.113
2019-09-27,4.4,0.494,0.029
2019-12-28,3.4,1.093,0.015
2020-02-26,,3.727,0.101
2020-03-24,,3.368,0.02
2020-06-26,4.7,1.731,0.053
2019-01-14,3.2,1.646,0.014
2019-04-28,4.1,1.525,0.018
2019-07-28,,,
2020-01-01,4,1.234,-999
2020-01-13,3.2,1.056,0.081
2019-03-02,3.7,2.956,0.029
2018-12-28,3.2,1.642,0.014
2019-02-21,3.8,2.206,0.02
2019-06-24,6,1.192,0.039
2019-07-02,6,1.568,0.046
2019-12-15,3.3,0.971,
2020-01-18,3.2,,0.035
2020-02-18,,2.033,0.028
2020-03-02,,3.527,0.046
2020-03-17,,3.746,0.029
2020-03-30,4.2,3.167,0.016
2019-03-13,4,3.23,0.022
2019-05-28,5.1,1.806,0.026
2019-09-26,5.2,0.523,0.027
2019-08-27,5,1.286,0.065
2020-01-27,3.2,1.958,0.041
2020-05-12,5.1,1.994,0.025
2019-05-16,4.6,,0.019
2019-12-03,3.7,1.146,0.012
2020-02-10,3.7,1.775,0.033
2020-03-07,,4.057,0.034
2020-06-24,4.6,1.923,0.055
2020-06-20,4.4,1.563,0.048
2018-12-05,3.4,1.37,0.012
2018-12-29,3.3,1.589,0.012
2019-01-09,3.4,,0.011
2019-04-25,3.8,1.8,0.018
2019-05-25,5.3,1.84,0.031
2019-07-24,4.6,2.343,0.051
2019-08-20,5.1,0.733,0.039
2020-01-28,3.1,1.948,0.039
